0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
227.2629184,68.40830666,343.9970699,164.0445721,212.8327204,424.3347878,302.632534,245.1214768,429.4099213,127.3860963,360.8855764,265.6275071,350.6128787,60.85031168,199.1358655,1336.891957,576.9405039,465.4956408,537.3485636,523.9875551,154.1422093,235.4975334,2270.157592,253.3698245,470.3067199,530.4207095,737.6019659,431.7658408,462.9956339,383.848311,265.6275071,265.6275071
234.1684138,70.28280191,359.4957686,171.1467837,219.4552749,435.9662463,312.3506433,253.6966077,442.6676837,128.8518902,372.4740013,270.4550112,364.1714779,62.90931275,205.0578568,1391.600421,597.5692062,480.8522528,551.0039387,540.2999139,158.3579762,241.4274731,2328.690279,261.3830491,485.2375179,553.0602593,756.7239184,444.1477125,472.3504827,398.7079342,270.4550112,270.4550112
234.0760042,70.25850119,359.3419261,170.7429346,219.3917479,436.1057456,312.025273,253.1820886,442.4811831,128.9811258,372.2096602,270.9056336,363.3462204,62.83956014,204.7242083,1385.603952,596.5689036,480.134486,550.8478118,539.9163889,158.3524536,241.1547901,2326.380315,261.1516704,485.067056,551.4804725,756.4168732,443.8919443,472.7031537,398.1037349,270.9056336,270.9056336
235.0064801,70.46090759,361.8434977,171.9532781,220.1061086,437.3254942,314.0076193,254.2989402,444.2767074,128.9726999,373.5502471,270.8670295,365.2301616,63.14746397,205.5495231,1392.585016,599.2868999,482.3336302,552.2674582,541.8375418,158.7710331,241.9723788,2331.366924,262.1181201,486.8581756,554.8741265,757.2742256,445.167806,473.2151717,400.135111,270.8670295,270.8670295
234.2227519,70.1847935,360.6068577,171.5264451,219.1256049,435.5070635,313.7747557,253.3575409,442.7812084,128.5113677,371.9793551,269.3462808,363.8977466,62.96094452,204.9662509,1386.934265,597.019919,480.8583105,550.1829729,539.6738843,158.093406,241.3605428,2321.379738,261.0891163,484.8808211,552.9928784,752.9670332,443.2850266,471.1099512,398.56828,269.3462808,269.3462808
233.3013627,69.89561268,359.0387165,170.7309254,218.1103948,433.6837989,312.7544749,252.1635164,440.9608885,128.0849513,370.2644523,268.1771466,362.1713858,62.71187884,204.2291045,1378.943345,594.2690161,478.8958241,548.0384298,537.318809,157.4085671,240.5585046,2311.274681,259.9002322,482.7347581,550.1614741,749.3370937,441.3073692,469.2422358,396.6073115,268.1771466,268.1771466
239.5974888,71.57905039,372.1419571,177.2799155,224.0341307,444.4867259,323.5524317,259.5964608,453.4739603,130.0231902,380.5485568,272.7858978,373.4568854,64.53706143,209.0833304,1424.744054,611.7523178,492.4194401,560.2640928,551.5595639,161.2819044,245.91451,2361.419187,267.219967,496.1351969,569.9275458,763.8695563,452.4199331,478.2559625,409.6597387,272.7858978,272.7858978
263.628308,77.88670305,425.7180817,202.4500655,246.3124007,484.6552748,362.8174571,287.9117762,500.3937444,135.7712185,419.4251415,288.5171724,417.7645614,71.63799262,228.3553876,1597.234799,679.6712384,544.5435222,605.9958501,605.954189,175.5868189,266.1844124,2546.76231,294.5283622,547.0102046,646.0667036,819.2366115,493.6974914,509.9756763,459.8657586,288.5171724,288.5171724
270.3038818,79.72069077,439.7380704,208.5265022,252.8216685,496.9323391,372.6991766,295.1127999,513.4955472,138.1007971,430.364711,294.9498969,428.691826,73.47826406,233.1273174,1636.424757,697.1752772,557.8660457,619.4147852,621.1301422,179.9067045,271.4609604,2600.048955,302.1132771,561.5211454,664.373019,836.8268321,505.6547934,520.9561541,472.996718,294.9498969,294.9498969
264.4981749,78.26480614,427.0765157,202.264039,247.6880397,487.3196503,361.261001,288.7413185,501.8571441,136.4381665,421.4352091,291.4889801,418.9422719,71.78556661,228.9275194,1600.117636,682.046604,545.6831505,608.9348507,608.7753612,176.5596582,266.6585079,2561.052839,295.6699773,549.588717,646.760218,827.2272124,496.2364441,513.5134422,461.3480243,291.4889801,291.4889801
